record_id,parcel_number,tax_period,principal,interest,penalty,other,total,lien_number
8715485402010,871548540,2010,340.61,160.93,23.84,52.72,578.10,1511R10517342
3610150002015,361015000,2015,47.64,1.07,0.95,2.98,52.64,
1725385002011,172538500,2011,487.96,186.65,34.16,151.18,859.95,1512R11612634
5012337002016,501233700,2016,1627.97,0.00,0.00,0.00,1627.97,
2122816002016,212281600,2016,0.01,0.00,0.00,0.00,0.01,
3940610002016,394061000,2016,1725.95,0.00,0.00,0.00,1725.95,
0111605002014,011160500,2014,562.95,63.33,39.41,131.84,797.53,RL01542202
5140210002016,514021000,2016,305.16,0.00,0.00,0.00,305.16,
1621017002015,162101700,2015,38.53,0.87,0.77,2.41,42.58,
4532850002005,453285000,2005,1039.18,958.64,72.74,145.43,2215.99,1512R05755045
4330086002016,433008600,2016,375.15,0.00,0.00,0.00,375.15,
5721550132010,572155013,2010,974.25,460.34,68.20,657.30,2160.09,1512R10659956
1722423002014,172242300,2014,1570.28,176.66,109.92,203.31,2060.17,1505R14015918
3711397002008,371139700,2008,136.85,89.30,9.58,66.03,301.76,1512R08698917
2524544002016,252454400,2016,86.79,0.00,0.00,0.00,86.79,
5311993002008,531199300,2008,152.06,5.70,0.00,200.34,358.10,PY22243121
3221931002009,322193100,2009,212.88,119.75,14.90,86.16,433.69,1512R09674926
1120087002016,112008700,2016,54.59,0.00,0.00,0.00,54.59,
1920236002005,192023600,2005,0.00,0.00,0.00,1.80,1.80,
3231448002016,323144800,2016,165.18,0.00,0.00,0.00,165.18,
2811200002015,281120000,2015,41.61,0.93,0.83,2.60,45.97,
3641519002004,364151900,2004,234.16,237.09,16.39,50.46,538.10,1512R04766957
1220391002012,122039100,2012,926.85,298.42,86.22,118.04,1429.53,1512R12573585
3711441001983,371144100,1983,33.01,81.95,2.31,10.00,127.27,LV00004655
1713308002010,171330800,2010,91.23,43.10,6.39,48.93,189.65,1511R10508284
3810355002013,381035500,2013,503.40,101.94,35.24,138.90,779.48,1512R13550118
6222273002016,622227300,2016,0.01,0.00,0.00,0.00,0.01,
4422062002008,442206200,2008,395.35,257.97,27.67,62.06,743.05,1512R08702497
4912229002011,491222900,2011,16.71,6.40,1.17,4.37,28.65,
0341276002009,034127600,2009,431.85,242.92,30.23,150.50,855.50,1512R09663341
6220771002016,622077100,2016,911.27,0.00,0.00,0.00,911.27,
3713127002012,371312700,2012,69.41,20.30,4.86,26.87,121.44,RL01187177
3712182002014,371218200,2014,30.82,3.47,2.16,6.56,43.01,
2412400002007,241240000,2007,453.13,336.45,31.72,70.48,891.78,1512R07713972
1323482002014,132348200,2014,87.84,9.88,6.15,18.70,122.57,
0221608102016,022160810,2016,0.01,0.00,0.00,0.00,0.01,
8715320102016,871532010,2016,1264.02,0.00,0.00,0.00,1264.02,
6612870192016,661287019,2016,0.01,0.00,0.00,0.00,0.01,
8829172012016,882917201,2016,4547.95,0.00,0.00,0.00,4547.95,
5112791002002,511279100,2002,243.29,290.12,17.03,54.23,604.67,1512R02789112
5524566002011,552456600,2011,80.21,30.68,5.61,44.57,161.07,1512R11631640
0610445002015,061044500,2015,1309.85,29.47,26.20,173.83,1539.35,1603R15035601
5412166002016,541216600,2016,1651.26,0.00,0.00,0.00,1651.26,
1020532002016,102053200,2016,1261.22,0.00,0.00,0.00,1261.22,
3921299002016,392129900,2016,848.28,0.00,0.00,0.00,848.28,
4913466002004,491346600,2004,15.20,15.39,1.06,5.70,37.35,
4712237002005,471223700,2005,21.29,19.64,1.49,31.24,73.66,RL00295824
4420294002003,442029400,2003,0.00,23.21,1.59,339.48,364.28,RL00069638
1010844002013,101084400,2013,251.70,50.97,17.62,81.25,401.54,1512R13530010
0231735402016,023173540,2016,0.01,0.00,0.00,0.00,0.01,
3310063002016,331006300,2016,5.64,0.00,0.00,0.00,5.64,
3221221002011,322122100,2011,14.58,5.58,1.02,6.28,27.46,RL01026347
6521860002016,652186000,2016,3887.24,0.00,0.00,0.00,3887.24,
1911498002003,191149800,2003,30.41,33.53,2.13,35.49,101.56,RL00026996
